chunk_id,source_id,source_title,organization,format,year,url,section,chunk_length,breadcrumb
SRC001_CHUNK_8_8_3_2_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1846,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > Perineal and uterine cramping/involution pain
SRC001_CHUNK_8_8_3_3_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1214,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > Urinary and faecal incontinence
SRC001_CHUNK_8_8_3_4_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,2036,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > Breast engorgement
SRC001_CHUNK_8_8_3_4_1_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1983,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > Breast engorgement > Box 3.1 Values
SRC001_CHUNK_8_8_3_4_2_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1086,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > Breast engorgement > Box 3.2 Acceptability of interventions
SRC001_CHUNK_8_8_3_4_3_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1594,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > Breast engorgement > Box 3.3 Feasibility of interventions
SRC001_CHUNK_8_8_3_5_0_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,233,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > A.2.1  Local cooling for perineal pain relief
SRC001_CHUNK_8_8_3_5_1_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,482,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > A.2.1  Local cooling for perineal pain relief > RECOMMENDATION 4
SRC001_CHUNK_8_8_3_5_2_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,1745,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > A.2.1  Local cooling for perineal pain relief > Remarks
SRC001_CHUNK_8_8_3_5_3_0,SRC001,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,Guideline PDF,2022,https://www.who.int/publications/i/item/9789240045989,A. International guidelines / downloadable guidance sources,268,Implementation > C. HEALTH SYSTEMS AND HEALTH PROMOTION INTERVENTIONS > A.2  INTERVENTIONS FOR COMMON PHYSIOLOGICAL SIGNS AND SYMPTOMS > A.2.1  Local cooling for perineal pain relief > Summary of evidence and considerations
